ENO,Zoom,Alt zoom,Potential 12,Interest
333306,16,,,Low
333308,13,,,Low
333334,15,,,Med
333405,11,11,,High
333421,15,,,Junk
333422,13,14,,Med
333436,14,,,Low
333502,11,10,,High
333545,9,10,,High
333547,11,10,,Low
333552,13,11,,Med
333566,13,,,Low
333606,13,,Yes,Med
333629,14,,,Low
333671,13,,,Low
333741,14,,Yes,Low
333769,10,10,,High
333791,15,,,High
333817,13,,,Low
333818,15,,Yes,Low
333922,13,,,Junk
333953,13,,,Low
333989,14,,Yes,Med
333991,10,,,High
334005,13,,Yes,Med
334006,13,,Yes,Med
334019,13,,,Med
334020,13,,,Med
334049,12,,Yes,Junk
334089,13,,Yes,High
334090,14,,Yes,Junk
334110,13,,,Med
334135,13,,,Junk
334148,13,,,Junk
334195,11,10,,High
334196,13,,Yes,Low
334258,13,,,Low
334259,13,,,Junk
334340,11,,,Med
334402,11,,,High
334423,13,,,Med
334438,13,,,Junk
334441,11,,,High
334505,11,,,High
334652,13,,,Med
334654,10,,,High
334665,11,12,Yes,High
334668,11,,,High
334679,11,,Yes,High
334708,10,,,High
334713,14,,Yes,Med
334801,15,,,Low
334810,13,,,Junk
334837,11,,,High
334858,11,,,Med
334880,13,,,High
334903,13,,,Junk
334912,11,,,Low
334974,12,,Yes,Junk
335025,13,,,High
335030,11,,,High
335034,11,,Yes,High
335057,13,,Yes,Med
335075,14,,,Low
335089,13,,,Junk
335138,13,,Yes,Med
335232,15,,,Low
335243,11,,Yes,High
335267,10,,,High
335286,14,,,Low
335302,10,,Yes,High
335355,13,,,Junk
335420,15,,Yes,Low
335474,13,,Yes,Med
335475,10,,Yes,High
335486,14,,,High
335515,16,,,High
335524,14,,,Junk
335532,11,,Yes,High
335534,13,,,Med
335599,13,,,Junk
335634,13,,,Low
335659,14,,,Low
335709,11,,Yes,High
335720,11,,,High
335782,11,,,High`
335793,11,,Yes,High
335802,12,,Yes,Med
335819,11,,,High
335849,13,,,Low
335871,14,,,Junk
335903,13,,,Med
335943,11,,Yes,Med
335967,15,,,Med
335995,13,,,Low
336032,13,,,Low
336033,11,,,High
336047,13,,Yes,High
336050,13,,,Med
336075,14,,,Low
336097,13,,,Junk
336150,14,,,Med
336162,13,,,Med
336230,12,,Yes,Junk
336231,16,,,Junk
336232,13,,Yes,Junk
357585,14,,,Low
357601,14,,,Med
362729,12,,Yes,Junk
435527,13,,,Med
444537,14,,,Junk
444544,16,,,High
452804,13,,,Low
514609,13,,Yes,Low
550198,14,,,Junk
